specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
impejani,impejani,"Scharf {& Price}, 1983:445 ",,Argimenopon,,,,,,
jacquacu,jacquacu,"Carriker, 1950c:502 ",,Cracimenopon,,,,,,
jacutica,jacutica,"Fedorenko & Vasjukova, 1981:109 ",,Argimenopon,,,,,,
lagopi,lagopi,"Grube, 1851:491",Menopon,Argimenopon,,,,,,
latifasciata,lagopi,,Menopon,,latifasciata,"Scharf & Price, 1983:445",,,,
lativulvata,lativulvata,"Piaget, 1880:465",Menopon,Argimenopon,,,,,,
lopesi,lopesi,"Tendeiro, 1954a:19",Menopon,Numidimenopon,,,,,,
macropus,cracis,,Menopon,,macropus,"Hopkins & Clay, 1952:28",,,,
megalosoma,perdicis,,Menopon,,megalosoma,"Scharf & Price, 1983:446",,,,
minuta,minuta,"Emerson, 1961b:117 ",,Argimenopon,,,,,,
mirae,garruli,,Cracimenopon,,mirae,"Scharf & Emerson, 1984:886",,,,
mituensis,mituensis,"Carriker, 1954d:22",Cracimenopon,Cracimenopon,,,,,,
monostoecha,subaequale,,Menopon,,monostoecha,"Scharf & Price, 1983:448",,,,
nicobariensis,nicobariensis,"Scharf {& Price}, 1983:441 ",,Argimenopon,,,,,,
obstinata,lagopi,,,,obstinata,"Scharf & Price, 1983:444",,,,
oculeae,oculeae,"Price & Elbel, 1969:336 ",,Amyrsidea,,,,,,
pallescens,fulvomaculata,,Menopon,,pallescens,"Hopkins & Clay, 1952:29",,,,
parvispina,pauxis,,,,parvispina,"Scharf & Emerson, 1984:880",,,,
pauxis,pauxis,"Carriker, 1950c:496 ",,Cracimenopon,,,,,,
perdicis,perdicis,"Denny, 1842:200",Menopon,Argimenopon,,,,,,
phaeostoma,phaeostoma,"Nitzsch [In Giebel], 1866:391",Menopon,Argimenopon,,,,,,
phalloides,phalloides,"Tendeiro, 1980d:86 ",,Argimenopon,,,,,,
plumiferae,plumiferae,"Scharf {& Price}, 1977:821 ",,Numidimenopon,,,,,,
polytricha,polytricha,"Eichler, 1947a:6",Argimenopon,Argimenopon,,,,,,
powelli,powelli,"Bedford, 1920a:714",Menopon,Argimenopon,,,,,,
powelli pallida,powelli,,,,,,powelli pallida,"Tendeiro, 1960c:36 ",,
praegracilis,praegracilis,"Carriker, 1950c:507 ",,Desumenopon,,,,,,
praegracilis cumbrensis,gujanensis,,,,,,praegracilis cumbrensis,"Carriker, 1950c:509 ",,
purpurascens,purpurascens,"Carriker, 1950c:501 ",,Cracimenopon,,,,,,
ricaurtei,ricaurtei,"Carriker, 1967c:35",Desumenopon,Desumenopon,,,,,,
rogersi,rogersi,"Scharf & Emerson, 1984:883 ",,Cracimenopon,,,,,,
rolluli,rolluli,"Scharf {& Price}, 1983:449 ",,Argimenopon,,,,,,
rubra,rubra,"Carriker, 1950c:495 ",,Cracimenopon,,,,,,
ruficaudatus,garruli,,,,ruficaudatus,"Scharf & Emerson, 1984:886",,,,
semicracis,semicracis,"Carriker, 1950c:499 ",,Cracimenopon,,,,,,
semicracis brunnescens,purpurascens,,,,,,semicracis brunnescens,"Carriker, 1950c:502 ",,
semicracis chamaepeta,aburris,,,,,,semicracis chamaepeta,"Carriker, 1950c:504 ",,
semicracis guttata,pauxis,,,,,,semicracis guttata,"Carriker, 1950c:505 ",,
semicracis perijana,semicracis,,,,,,semicracis perijana,"Carriker, 1950c:500 ",,
semicracis sanctaemartae,aburris,,,,,,semicracis sanctaemartae,"Carriker, 1950c:504 ",,
simplex,simplex,"Carriker, 1950c:494 ",,Cracimenopon,,,,,,
sixiola,sixiola,"Carriker, 1967d:41",Cracimenopon,Cracimenopon,,,,,,
speciosa,speciosa,"Carriker, 1967c:35",Desumenopon,Desumenopon,,,,,,
spicula,spicula,"Carriker, 1950c:506 ",,Cracimenopon,,,,,,
spicula microspina,garruli,,,,,,spicula microspina,"Carriker, 1950c:507 ",,
spinigaster alberti,simplex,,,,,,spinigaster alberti,"Carriker, 1950c:498 ",,
spinigaster daubentoni,simplex,,,,,,spinigaster daubentoni,"Carriker, 1950c:498 ",,
spinigaster spinigaster,pauxis,,,,,,spinigaster spinigaster,"Carriker, 1950c:497 ",,
steineri,steineri,"Price & Emerson, 1986d:309 ",,Cracimenopon,,,,,,
sternosetosa,sternosetosa,"Eichler, 1947a:7",Argimenopon,Argimenopon,,,,,,
strepsilae,unidentifiable,,Menopon,,strepsilae,"Hopkins & Clay, 1952:30",,,,
striata,lagopi,,Menopon,,striata,"Scharf & Price, 1983:445",,,,
subaequale,subaequale,"Piaget, 1880:463",Menopon,Argimenopon,,,,,,
substituta,subaequale,,Menopon,,substituta,"Scharf & Price, 1983:448",,,,
tetraogalli,tetraogalli,"Grosa, 1970:376 ",,Argimenopon,,,,,,
tibetani,tibetani,"Scharf {& Price}, 1983:448 ",,Argimenopon,,,,,,
triseriata,triseriata,"Piaget, 1880:460",Menopon,Argimenopon,,,,,,
uniseriata,uniseriata,"Piaget, 1880:464",Menopon,Argimenopon,,,,,,
ventralis,ventralis,"Nitzsch [In Giebel], 1866:391",Menopon,Amyrsidea,,,,,,
vulturini,vulturini,"Scharf {& Price}, 1977:820 ",,Numidimenopon,,,,,,
wagleri,wagleri,"Carriker, 1967d:44",Cracimenopon,Cracimenopon,,,,,,
gigantea,vagelli,,Menopon,,gigantea,"Clay & Hopkins, 1955:51",,,,
gigas,vagelli,,,,gigas,"Harrison, 1916:63",,,,
procellariae,vagelli,,,,procellariae,"Harrison, 1916:63",,,,
vagelli,vagelli,"Fabricius [J.C.], 1787:369",Pediculus,,,,,,,
dumosum,dumosum,"Tandan, 1972a:54",,,,,,,,
hintoni,hintoni,"Clay, 1966a:292",,,,,,,,
mirum,mirum,"Clay, 1961a:574",,,,,,,,
floridae,floridae,"Tuff, 1965a:110",,,,,,,,
incertus,incertus,"Carriker, 1964b:106",,,,,,,,
marginatus,vittatus,,Colpocephalum,,marginatus,"Hopkins & Clay, 1952:42",,,,
mirzai,vittatus,,Cuculiphilus,,mirzai,"Price, 1970d:134",,,,
trochioxus,trochioxus,"Burm., 1838:438",Colpocephalum,,,,,,,
vittatus,vittatus,"Rudow, 1866b:469",Colpocephalum,,,,,,,
zonatus,vittatus,,Colpocephalum,,zonatus,"Hopkins & Clay, 1952:42",,,,
aegialitidis,aegialitidis,"Durrant, 1906a:529",Menopon,,,,,,,
affine,affine,"Piaget, 1890a:248",Menopon,,,,,,,
albemarlei,unidentifiable,,Menopon,,albemarlei,"Clay, 1959:166",,,,
alpinum,alpinum,"Timmer., 1954f:202",,,,,,,,
ambiguum,phaeopodis,,Menopon,,ambiguum,"Nitzsch [In Giebel], 1874:295) ",,,,
atrofulvum,atrofulvum,"Piaget, 1880:483",Menopon,,,,,,,
beckii,beckii,"Kellogg, 1906c:322",Menopon,,,,,,,
brevifimbriatum,brevifimbriatum,"Piaget, 1880:499",Menopon,,,,,,,
bulleri,navigans,,,,bulleri,"Palma, 1994a:64",,,,
bulweriae,bulweriae,"Timmer., 1963b:420",,,,,,,,
caspiae,atrofulvum,,,,caspiae,"Emerson, 1972b:32",,,,
circinatum,fuscofasciatum,,Menopon,,circinatum,"Emerson, 1972b:33",,,,
confine,confine,"Blagov., 1948:260",Menopon,,,,,,,
corporosum,corporosum,"Kellogg & Kuwana, 1901:158",Menopon,,,,,,,
crocatum,crocatum,"Nitzsch [In Giebel], 1866:392",Menopon,,,,,,,
cursorium,cursorium,"Giebel, 1874:296",Menopon,,,,,,,
daptionis,brevifimbriatum,,Procellariphaga,,daptionis,"Price & Clay, 1972:494",,,,
decorosum,decorosum,"Z{l-}otorzycka, 1968:323",,,,,,,,
decorosum finitimum,decorosum,,,,,,decorosum finitimum,"Z{l-}otorzycka, 1968:325 ",,
durisetosum,durisetosum,"Blagov., 1948:263",Menopon,,,,,,,
echinatum,echinatum,"Edwards, 1960:817",,,,,,,,
edwardsi,edwardsi,"Price & Clay, 1972:499",,,,,,,,
elliotti,elliotti,"Timmer., 1954f:205",,,,,,,,
enigki,enigki,"Timmer., 1963b:425",,,,,,,,
erilis,erilis,"Z{l-}otorzycka, 1968:325",,,,,,,,
expansum,aegialitidis,,Menopon,,expansum,"Emerson, 1960f:159",,,,
fraterculae,paululum,,,,fraterculae,"Price & Clay, 1972:494",,,,
fuscofasciatum,fuscofasciatum,"Piaget, 1880:492",Menopon,,,,,,,
fuscofasciatum minor,atrofulvum,,Menopon,,,,fuscofasciatum minor,"Piaget [In Thompson], 1937b:24",,
gregariae,gregariae,"Timmer., 1954f:200",,,,,,,,
haematopi,haematopi,"Timmer., 1954f:199",,,,,,,,
hatutuense,hatutuense,"Timmer., 1963b:421",,,,,,,,
himantopi,himantopi,"Timmer., 1954f:199",,,,,,,,
hystriculum,hystriculum,"Z{l-}otorzycka, 1968:326",,,,,,,,
icterum,icterum,"Burm., 1838:440",Menopon,,,,,,,
indistinctum,micrandum,,Menopon,,indistinctum,"Emerson, 1972b:34",,,,
infrequens,transversum,,Menopon,,infrequens,"Timmer., 1954f:204",,,,
irrumpens,navigans,,Menopon,,irrumpens,"Hopkins & Clay, 1952:298",,,,
lemniscatum,transversum,,Menopon,,lemniscatum,"Timmer., 1954f:204",,,,
leucopterum,atrofulvum,,Actornithophilus,,leucopterum,"Price & Emerson, 1966b:432",,,,
leucurae,leucurae,"Timmer., 1954f:200",,,,,,,,
limosae,limosae,"Timmer., 1954f:202",,,,,,,,
longithoracicum,longithoracicum,"Piaget, 1880:500",Menopon,,,,,,,
lutescens,lutescens,"Burm., 1838:440",Menopon,,,,,,,
madagascariensis,madagascariensis,"Mjöberg, 1910b:34",Menopon,,,,,,,
merguli,nigropleurum,,,,merguli,,,,,
meyeri,meyeri,"Giebel, 1874:296",Menopon,,,,,,,
micrandrum,micrandrum,"Nitzsch [In Giebel], 1866:392",Menopon,,,,,,,
miloni,beckii,,Menopon,,miloni,"Ledger, 1980:75",,,,
mohni,himantopi,,,,mohni,"Emerson, 1972b:33",,,,
narboroughi,narboroughi,"Kellogg & Kuwana, 1902:485",Menopon,,,,,,,
navigans,navigans,"Kellogg, 1896a:156",Menopon,,,,,,,
nigropleurum,nigropleurum,"Denny, 1842:200",Menopon,,,,,,,
nigropleurum volucer,uriae,,,,,,nigropleurum volucer,"Z{l-}otorzycka, 1968:318 ",,
numenii,crocatum,,Menopon,,numenii,"Hopkins & Clay, 1952:48",,,,
numerosum,brevifimbriatum,,Menopon,,numerosum,"Hopkins & Clay, 1952:299",,,,
obtusum,transversum,,Menopon,,obtusum,"Hopkins & Clay, 1952:48",,,,
oceanodromae,oceanodromae,"Price & Clay, 1972:501",,,,,,,,
oschei,brevifimbriatum,,,,oschei,"Price & Clay, 1972:494",,,,
ossifragae,ossifragae,"Eichler, 1949b:12",Procellariphaga,,,,,,,
pachypus,transversum,,Menopon,,pachypus,"Emerson, 1972b:35",,,,
paululum,paululum,"Kellogg & Chapman, 1899:119",Menopon,,,,,,,
pelagicum,pelagicum,"Timmer., 1963b:423",,,,,,,,
petulans,pinguis,,Menopon,,petulans,"Price & Clay, 1972:490",,,,
phaeopodis,phaeopodis,"Schrank, 1802:361",Pediculus,,,,,,,
phaeopus,transversum,,Menopon,,phaeopus,"Nitzsch [In Giebel], 1866:392) ",,,,
phippsi,nigropleurum,,,,phippsi,,,,,
piekarskii,paululum,,,,piekarskii,"Price & Clay, 1972:494",,,,
pinguis,pinguis,"Kellogg, 1896a:144",Colpocephalum,,,,,,,
popellus,popellus,"Piaget, 1890a:251",Menopon,,,,,,,
putum,atrofulvum,,,,putum,"Emerson, 1972b:32",,,,
ridibundus,transversum,,Menopon,,ridibundus,"Timmer., 1954f:204",,,,
sachtlebeni,sachtlebeni,"Timmer., 1954f:202",,,,,,,,
sohni,sohni,"Ansari, 1955c:56",,,,,,,,
spenceri,spenceri,"Timmer., 1956:192",,,,,,,,
squatarolae,squatarolae,"Timmer., 1954f:199",,,,,,,,
stammeri,stammeri,"Timmer., 1963b:421",,,,,,,,
sternophilum,atrofulvum,,Menopon,,sternophilum,"Clay, 1959:165",,,,
sternophilum infans,atrofulvum,,,,,,sternophilum infans,"Z{l-}otorzycka, 1968:313 ",,
sternophilum paucum,atrofulvum,,,,,,sternophilum paucum,"Z{l-}otorzycka, 1968:314 ",,
sternophilum piageti,atrofulvum,,,,,,sternophilum piageti,"Z{l-}otorzycka, 1968:315 ",,
transversum,transversum,"Denny, 1842:201",Menopon,,,,,,,
transversum circulor,transversum,,,,,,transversum circulor,"Z{l-}otorzycka, 1968:306 ",,
transversum comitor,transversum,,,,,,transversum comitor,"Z{l-}otorzycka, 1968:306 ",,
uriae,nigropleurum,,,,uriae,,,,,
vanelli,aegialitidis,,,,vanelli,"Emerson, 1972b:31",,,,
afra,afra,"Tendeiro, 1980a:48",,,,,,,,
beieri,beieri,"Eichler, 1959a:1173",,,,,,,,
columbae,columbae,"Emerson, 1957c:63",,,,,,,,
concii,concii,"Eichler, 1947e:264",,,,,,,,
insolitunguicolata,insolitunguicolata,"Conci, 1942f:124",,,,,,,,
deignani,deignani,"Elbel, 1967:38",,,,,,,,
emersoni,emersoni,"Elbel, 1967:37",,,,,,,,
africanus,africanus,"Bedford, 1929:509",,,,,,,,
eurygaster,productus,,Colpocephalum,,eurygaster,"Hopkins & Clay, 1952:64",,,,
forcipatus,forcipatus,"Nitzsch [In Giebel], 1874:289",Menopon,,,,,,,
productus,productus,"Burm., 1838:439",Colpocephalum,,,,,,,
vittatus,productus,,Colpocephalum,,vittatus,"Hopkins & Clay, 1952:64",,,,
abdita,abdita,"Clay & Price, 1970b:337",,,,,,,,
senta,senta,"Clay & Price, 1970b:341",,,,,,,,
acutovulvata,acutovulvata,"Piaget, 1881:5",Menopon,,,,,,,
blakei,blakei,"Elbel, 1967:29",,,,,,,,
boonsongi,boonsongi,"Elbel, 1967:27",,,,,,,,
bucerotis,bucerotis,"Kellogg, 1910a:54",Menopon,,,,,,,
camuri,camuri,"Elbel, 1967:15",,,,,,,,
clayae,clayae,"Elbel, 1967:21",,,,,,,,
elbeli,fasciati,,,,elbeli,"Elbel, 1969:489",,,,
fasciati,fasciati,"Elbel, 1967:12",,,,,,,,
hirta,hirta,"Rudow, 1866b:474",Colpocephalum,,,,,,,
hoplai,hoplai,"Elbel, 1967:26",,,,,,,,
lophocerus,lophocerus,"Bedford, 1920a:717",Menopon,,,,,,,
lydae,lydae,"Elbel, 1967:32",,,,,,,,
malayensis,malayensis,"Elbel, 1967:25",,,,,,,,
mjoebergi,acutovulvata,,Allomenopon,,mjoebergi,"Elbel, 1967:23",,,,
muesebecki,muesebecki,"Elbel, 1967:34",,,,,,,,
robusta,robusta,"Ewing, 1927:89",,,,,,,,
traylori,traylori,"Elbel, 1967:31",,,,,,,,
waniti,waniti,"Elbel, 1967:22",,,,,,,,
wenzeli,wenzeli,"Elbel, 1967:28",,,,,,,,
africanus,africanus,"Bedford, 1939b:143",,,,,,,,
agami,decimfasciatus,,,,agami,"Price & Emerson, 1967b:249",,,,
boisduvali,decimfasciatus,,Colpocephalum,,boisduvali,"Price & Beer, 1965c:661",,,,
butoridiphagus,butoridiphagus,"Carriker, 1964b:104",,,,,,,,
castaneus,decimfasciatus,,Colpocephalum,,castaneus,"Price & Beer, 1965c:661",,,,
cingulatus,quadripustulatus,,Menopon,,cingulatus,"Price & Beer, 1965c:658",,,,
cygni,cygni,"Price & Beer, 1965c:664",,,,,,,,
decimfasciatus,decimfasciatus,"Boisduval & Lacordaire, 1835:123",Liotheum,,,,,,,
doriabagla,decimfasciatus,,Pseudocolpocephalum,,doriabagla,"Price & Beer, 1965c:661",,,,
euxenuri,euxenuri,"Palma, 1978:251",,,,,,,,
femoratus,temporalis,,Colpocephalum,,femoratus,"Price & Beer, 1965c:659",,,,
floridus,decimfasciatus,,,,floridus,"Price & Emerson, 1966b:432",,,,
importunus,decimfasciatus,,Colpocephalum,,importunus,"Hopkins & Clay, 1952:71",,,,
importunus major,decimfasciatus,,Colpocephalum,,,,importunus major,"Piaget, 1880:549",,
laticeps,decimfasciatus,,Colpocephalum,,laticeps,"Hopkins & Clay, 1952:71",,,,
maculipes,quadripustulatus,,Menopon,,maculipes,"Price & Beer, 1965c:658",,,,
matosi,matosi,"Tendeiro, 1958b:92",Colpocephalum,,,,,,,
melanolophi,butoridiphagus,,,,melanolophi,"Price & Emerson, 1966b:432",,,,
nyctardis,decimfasciatus,,Colpocephalum,,nyctardis,"Price & Beer, 1965c:661",,,,
nyctardis hoactli,decimfasciatus,,,,,,nyctardis hoactli,"Carriker, 1964b:100 ",,
nyctardis violaceus,decimfasciatus,,,,,,nyctardis violaceus,"Carriker, 1964b:102 ",,
obscurus,decimfasciatus,,Colpocephalum,,obscurus,"Price & Beer, 1965c:661",,,,
pectinatus,pectiniventris,,Menopon,,pectinatus,"Hopkins & Clay, 1952:72",,,,
pectiniventris,pectiniventris,"Harrison, 1916:53",Menopon,,,,,,,
pectiniventris parvus,pectiniventris,,Colpocephalum,,,,pectiniventris parvus,"Blagov., 1948:269",,
pilherodii,decimfasciatus,,,,pilherodii,"Price & Emerson, 1967b:249",,,,
planiceps,quadripustulatus,,Menopon,,planiceps,"Price & Beer, 1965c:658",,,,
quadripustulatus,quadripustulatus,"Burm., 1838:438",Colpocephalum,,,,,,,
sphenorhynchus,quadripustulatus,,Colpocephalum,,sphenorhynchus,"Price & Emerson, 1967b:250",,,,
sulcatus,decimfasciatus,,Menopon,,sulcatus,"Hopkins & Clay, 1952:72",,,,
tamamurensis,decimfasciatus,,Colpocephalum,,tamamurensis,"Hopkins & Clay, 1952:72",,,,
tantali,quadripustulatus,,Menopon,,tantali,"Hopkins & Clay, 1952:72",,,,
temporalis,temporalis,"Piaget, 1880:487",Menopon,,,,,,,
trochioxus minor,decimfasciatus,,Colpocephalum,,,,trochioxus minor,"Piaget, 1885:128",,
veratrus,decimfasciatus,,Colpocephalum,,veratrus,"Hopkins & Clay, 1952:72",,,,
afra,afra,"Tendeiro, Mendes et al, 1994:17",,,,,,,,
chapini,chapini,"Emerson, 1954a:206",,,,,,,,
clappertoni,clappertoni,"Tendeiro, Mendes et al, 1994:24",,,,,,,,
congensis,congensis,"Tendeiro, Mendes et al, 1994:26",,,,,,,,
cruzi,cruzi,"Tendeiro, 1955c:137",Diasiella,,,,,,,
diasi,mjoebergi,,,,diasi,"Hopkins & Clay, 1955:179",,,,
distincta,distincta,"Emerson, 1954a:206",,,,,,,,
kassaica,kassaica,"Tendeiro, Mendes et al, 1994:35",,,,,,,,
kenyensis,kenyensis,"Tendeiro, Mendes et al, 1994:39",,,,,,,,
mjoebergi,mjoebergi,"Cummings, 1914:163",Colpocephalum,,,,,,,
moucheti,moucheti,"Emerson, 1956a:200",,,,,,,,
nahani,nahani,"Tendeiro, Mendes et al, 1994:51",,,,,,,,
nobilis,nobilis,"Tendeiro, 1960c:66",,,,,,,,
phasida,phasida,"Tendeiro, Mendes et al, 1994:57",,,,,,,,
plumifera,plumifera,"Emerson, 1956a:202",,,,,,,,
shelleyii,shelleyii,"Tendeiro, Mendes et al, 1994:62",,,,,,,,
spinosa,spinosa,"Piaget, 1880:537",Colpocephalum,,,,,,,
squamata,squamata,"Emerson, 1956a:202",,,,,,,,
subcruzi,subcruzi,"Tendeiro, Mendes et al, 1994:70",,,,,,,,
subtheresae,subtheresae,"Emerson, 1954a:204",,,,,,,,
theresae,theresae,"Hopkins, 1941b:46",,,,,,,,
transvaaliensis,transvaaliensis,"Tendeiro, Mendes et al, 1994:79",,,,,,,,
wernecki,wernecki,"Tendeiro, 1954a:25",Somaphantus,,,,,,,
whyteii,whyteii,"Tendeiro, Mendes et al, 1994:85",,,,,,,,
zairensis,zairensis,"Tendeiro, Mendes et al, 1994:87",,,,,,,,
zumpti,zumpti,"Emerson, 1958b:102",,,,,,,,
hamatum,hamatum,"Neumann, 1912a:365",Menopon,,,,,,,
urocolius,urocolius,"Bedford, 1930:157",Machaerilaemus,,,,,,,
abbotti,tandani,,,,abbotti,"Price, 1978:343",,,,
abruptofasciatum,turbinatum,,,,abruptofasciatum,"Hopkins & Clay, 1952:76",,,,
aculeatum,aculeatum,"Piaget, 1885:121",,,,,,,,
aegypii,trachelioti,,,,aegypii,"Price, Palma & Hellenthal, 1997:539",,,,
aethiopicae,aethiopicae,"Price & Beer, 1965a:121",,,,,,,,
africanum,africanum,"Ewing, 1930c:118",,,,,,,,
ailurum,turbinatum,,,,ailurum,"Nitzsch [In Giebel], 1861a:522 ",,,,
ajajae,ajajae,"Ewing, 1930a:126",,,,,,,,
albidum,unidentifiable,,,,albidum,"Hopkins & Clay, 1952:77",,,,
albonigrum,unidentifiable,,,,albonigrum,,,,,
alecturae,alecturae,"Price & Beer, 1964a:399",,,,,,,,
angolensis,angolensis,"Price & Beer, 1963d:750",,,,,,,,
angolensis,angolensis,,,,angolensis,"Price & Emerson, 1967b:248",,,,
angulaticeps,angulaticeps,"Piaget, 1880:569",,,,,,,,
apivorus,apivorus,"Tendeiro, 1958b:89",,,,,,,,
appendiculatum,appendiculatum,"Nitzsch [In Giebel], 1866:394",,,,,,,,
arfakiani,arfakiani,"Price & Beer, 1964a:399",,,,,,,,
asiatici,asiatici,"Price & Beer, 1965a:114",,,,,,,,
ateri,ateri,"Price & Beer, 1964b:1483",,,,,,,,
barbati,barbati,"Price & Beer, 1963d:748",,,,,,,,
batocina,trispinum,,Ratitiphagus,,batocina,"Price, 1967e:367",,,,
bengalensis,fregili,,,,bengalensis,"Price & Beer, 1965b:8",,,,
benoiti,benoiti,"Tendeiro, 1960c:55",,,,,,,,
berigorae,berigorae,"Tendeiro, 1988b:96",,,,,,,,
bicinctum,turbinatum,,,,bicinctum,"Nitzsch [In Giebel], 1861a:524 ",,,,
blagoweschenskii,leptopygos,,Ferrisia,,blagoweschenskii,"Price & Beer, 1965a:122",,,,
brachysomum,brachysomum,"Kellogg & Chapman, 1902b:162",,,,,,,,
breve,unidentifiable,,,,breve,"Price, 1968c:688",,,,
buteonis,nanum,,Neocolpocephalum,,buteonis,"Eichler [In Bach & Eichler], 1954:13) ",,,,
californici,californici,"Price & Beer, 1963d:740",,,,,,,,
carunculatae,africanum,,,,carunculatae,"Price & Emerson, 1966b:431",,,,
caudatum,turbinatum,,,,caudatum,"Price & Beer, 1963d:755",,,,
caudatum longipes,turbinatum,,,,,,caudatum longipes,"Piaget, 1885:125 ",,
caudatum majus,cucullare,,,,,,caudatum majus,"Piaget, 1880:519 ",,
caudatum setosum,turbinatum,,,,,,caudatum setosum,"Piaget, 1880:519 ",,
cayennensis,cayennensis,"Price & Emerson, 1967a:875",,,,,,,,
ceciliae,ceciliae,"Carriker, 1963c:15",,,,,,,,
chelictiniae,chelictiniae,"Price & Beer, 1963d:760",,,,,,,,
chimangoi,maculatum,,,,chimangoi,"Price, Palma & Hellenthal, 1997:540",,,,
chloropi,chloropi,"Price & Beer, 1964a:394",,,,,,,,
cholibae,cholibae,"Price & Beer, 1963a:63",,,,,,,,
cinctum,unidentifiable,,,,cinctum,,,,,
clayellum,clayellum,"Brinck, 1955:405",,,,,,,,
commune,unidentifiable,,,,commune,"Hopkins & Clay, 1952:77",,,,
cooki,cooki,"Price & Beer, 1965a:116",,,,,,,,
cristatae,cristatae,"Price, 1968c:686",,,,,,,,
crotophagicola,crotophagicola,"Cicchino & Abrahamovich, 1997:14",,,,,,,,
cucullare,cucullare,"Giebel, 1874:264",,,,,,,,
davisoni,davisoni,"Price & Beer, 1965a:125",,,,,,,,
discrepans,brachysomum,,,,discrepans,"Price & Beer, 1963a:62",,,,
dissimile,turbinatum,,,,dissimile,"Hopkins & Clay, 1952:78",,,,
dissimile majus,turbinatum,,,,,,dissimile majus,"Piaget, 1885:119 ",,
ecaudati,ecaudati,"Price & Beer, 1963d:751",,,,,,,,
echinatum,thoracicum,,,,echinatum,"Price & Beer, 1964a:394",,,,
ehrhardti,spineum,,,,ehrhardti,,,,,
ellipticum,fregili,,,,ellipticum,"Price & Beer, 1965b:8",,,,
elongatum,fregili,,,,elongatum,"Price & Beer, 1965b:8",,,,
emersoni,emersoni,"Price, 1964b:210",,,,,,,,
ephippiorhynchi,oreas,,,,ephippiorhynchi,"Hopkins & Clay, 1952:78",,,,
eremitae,eremitae,"Price & Beer, 1965a:125",,,,,,,,
eucarenum,eucarenum,"Burm., 1838:439",,,,,,,,
eugenii,turbinatum,,Vulturigogus,,eugenii,"Price & Emerson, 1966b:430",,,,
falconii,falconii,"Carriker, 1963c:9",,,,,,,,
falconii caerulescens,falconii,,,,,,falconii caerulescens,"Carriker, 1963c:11 ",,
falconii rufigularis,falconii,,,,,,falconii rufigularis,"Carriker, 1963c:11 ",,
femellus,turbinatum,,Vulturigogus,,femellus,"Price & Emerson, 1966b:430",,,,
ferrisi,ferrisi,"Bedford, 1930:159",,,,,,,,
flavescens,flavescens,"De Haan, 1829:309",Liotheum,,,,,,,
foetens,foetens,"Eichler, 1954b:44",Neocolpocephalum,,,,,,,
fradei,fradei,"Tendeiro, 1958d:158",,,,,,,,
fregili,fregili,"Denny, 1842:198",,,,,,,,
freycineti,freycineti,"Price & Beer, 1964a:397",,,,,,,,
frugilegi,fregili,,Allocolpocephalum,,frugilegi,"Price & Emerson, 1966b:431",,,,
furcatum,unidentifiable,,,,furcatum,"Hopkins & Clay, 1952:79",,,,
fusconigrum,fusconigrum,"Giebel, 1874:274",,,,,,,,
gallinulae,gallinulae,"Uchida, 1926:39",,,,,,,,
germanum,germanum,"Eichler & Z{l-}otorzycka, 1971:24",Neocolpocephalum,,,,,,,
gracile,leptopygos,,Ferrisia,,gracile,"Hopkins & Clay, 1952:79",,,,
griffoneae,griffoneae,"Ansari, 1955c:51",,,,,,,,
gypae,turbinatum,,Neocolpocephalum,,gypae,"Hopkins & Clay, 1952:79",,,,
gypagi,megalops,,,,gypagi,"Hopkins & Clay, 1952:79",,,,
gypsi,gypsi,"Eichler & Z{l-}otorzycka, 1971:26",Neocolpocephalum,,,,,,,
haematopi,haematopi,"Price, 1968c:688",,,,,,,,
harpiprioni,harpiprioni,"Price & Beer, 1965a:118",,,,,,,,
harterti,harterti,"Price, 1964c:164",,,,,,,,
heterosoma,heterosoma,"Piaget, 1880:572",,,,,,,,
heterosoma boliviana,heterosoma,,,,,,heterosoma boliviana,"Carriker, 1956a:139 ",,
heterospizium,napiforme,,,,heterospizium,"Price & Emerson, 1967b:249",,,,
hoffmanni,hoffmanni,"Zavaleta, 1944:199",,,,,,,,
holzenthali,holzenthali,"Clayton & Price, 1989:505",,,,,,,,
horii,unidentifiable,,,,horii,"Hopkins & Clay, 1952:80",,,,
humboldt,leptopygos,,Liothella,,humboldt,"Price & Beer, 1965a:122",,,,
ibicter,ibicter,"Eichler, 1954b:47",Neocolpocephalum,,,,,,,
ictiniae,pectinatum,,,,ictiniae,"Price & Emerson, 1967b:249",,,,
ignotum,ignotum,"Tendeiro, 1958e:225",,,,,,,,
imperialis,imperialis,"Martin Mateo, 1981:108",,,,,,,,
impressum,impressum,"Rudow, 1866b:475",,,,,,,,
inaequale,inaequale,"Burm., 1838:438",,,,,,,,
indi,indi,"Price & Beer, 1963d:751",,,,,,,,
infuscati,infuscati,"Price & Emerson, 1967a:877",,,,,,,,
intermedium,turbinatum,,,,intermedium,"Hopkins & Clay, 1952:80",,,,
javensis,javensis,"Price, 1966a:319",,,,,,,,
keleri,brachysomum,,Kurodaia,,keleri,"Price & Beer, 1963a:62",,,,
kelloggi,kelloggi,"Osborn, 1902a:175",,,,,,,,
krappi,krappi,"Tendeiro, 1989b:76",,,,,,,,
lamelligeri,lamelligeri,"Price & Beer, 1965a:115",,,,,,,,
