type_host,host_species,host_auth,host_order,host_family,invalid_host,host_ref,family,generic,genus,genus_ref,genus_type,genus_type_ref,specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref,genus_syn,genus_syn_ref,genus_new_syn
*,Bettongia penicillata,Gray ,Diprotodontia,Potoro.,,,BOOPIIDAE,Paraheterodoxus,Paraheterodoxus,"Harrison & Johnston, 1916:356",Paraheterodoxus insignis,Harrison & Johnston,calcaratus,calcaratus,"Kéler, 1971:68",,,,,,,,,,,
*,Potorous tridactylus,Kerr) ,Diprotodontia,Potoro.,,,BOOPIIDAE,Paraheterodoxus,Paraheterodoxus,"Harrison & Johnston, 1916:356",Paraheterodoxus insignis,Harrison & Johnston,erinaceus,erinaceus,"Kéler, 1971:69",,,,,,,,,,,
*,Aepyprymnus rufescens,Gray) ,Diprotodontia,Potoro.,,,BOOPIIDAE,Paraheterodoxus,Paraheterodoxus,"Harrison & Johnston, 1916:356",Paraheterodoxus insignis,Harrison & Johnston,insignis,insignis,"Harrison & Johnston, 1916:357",,,,,,,,,,,
,Antechinus bellus,Thomas) ,Dasyuromorphia,Dasyur.,,"Emerson & Price, 1981b:10",BOOPIIDAE,Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,brevispinosa,brevispinosa,"Harrison & Johnston, 1916:355",Heterodoxus,,,,,,,,,,
*,Antechinus flavipes,Waterhouse),Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,brevispinosa,brevispinosa,"Harrison & Johnston, 1916:355",Heterodoxus,,,,,,,,,,
,Antechinus minimus,Geoffroy St.-Hilaire) ,Dasyuromorphia,Dasyur.,,"Emerson & Price, 1981b:10",BOOPIIDAE,Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,brevispinosa,brevispinosa,"Harrison & Johnston, 1916:355",Heterodoxus,,,,,,,,,,
,Antechinus stuartii,Macleay ,Dasyuromorphia,Dasyur.,,"Emerson & Price, 1981b:10",BOOPIIDAE,Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,brevispinosa,brevispinosa,"Harrison & Johnston, 1916:355",Heterodoxus,,,,,,,,,,
,Antechinus swainsonii,Waterhouse) ,Dasyuromorphia,Dasyur.,,"Emerson & Price, 1981b:10",BOOPIIDAE,Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,brevispinosa,brevispinosa,"Harrison & Johnston, 1916:355",Heterodoxus,,,,,,,,,,
*,Phascogale tapoatafa,Meyer) ,Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,spinosa,spinosa,"Harrison & Johnston, 1916:350",Boopia,,,,,,,,,,
*,Casuarius casuarius sclaterii,Salvadori ,Casuari.,Casuari,,,BOOPIIDAE,Therodoxus,Therodoxus,"Clay, 1971a:519",Therodoxus oweni,Clay,oweni,oweni,"Clay, 1971a:520",,,,,,,,,,,
*,Abrocoma bennetti,Waterhouse ,Rodentia,Abrocom.,,,GYROPIDAE,Abrocomophaga,Abrocomophaga,"Emerson & Price, 1976:426",Abrocomophaga chilensis,Emerson & Price,chilensis,chilensis,"Emerson & Price, 1976:426",,,,,,,,,,,
*,Cuscomys ashaninka,Emmons ,Rodentia,Abrocom.,,,GYROPIDAE,Abrocomophaga,Abrocomophaga,"Emerson & Price, 1976:426",Abrocomophaga chilensis,Emerson & Price,emmonsae,emmonsae,"Price & Timm, 2000:212",,,,,,,,,,,
*,Octodon degus,Molina) ,Rodentia,Octodont.,,,GYROPIDAE,Abrocomophaga,Abrocomophaga,"Emerson & Price, 1976:426",Abrocomophaga chilensis,Emerson & Price,hellenthali,hellenthali,"Price & Timm, 2000:214",,,,,,,,,,,
