generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Microctenia,Microctenia,"Kéler, 1939a:251",Microctenia tibialis,Kéler,,,,,,,
Mimemamenopon,Mimemamenopon,"Carriker, 1957a:733",Mimemamenopon zumpti,Carriker,,,,,,,
Myrsidea,Myrsidea,"Waterston, 1915b:12",Myrsidea victrix,Waterston,,,,,,,
Myrsidea,Myrsidea,,Menopon consimilis,"Eichler, 1951a:49 ",Myrsidella,"Hopkins & Clay, 1953:441",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum turbinatum,"Ewing, 1933:65 ",Neocolpocephalum,"Hopkins & Clay, 1952:235",,,,,
Neomenopon,Neomenopon,"Bedford, 1920b:170",Neomenopon pteroclurus,Bedford,,,,,,,
Myrsidea,Myrsidea,,Neomyrsidella usitata,"Z{l-}otorzycka, 1964a:182 ",Neomyrsidella,"Clay, 1966c:330",,,,,
Menacanthus,Menacanthus,,Neumannia okadai,"Uchida, 1926:27 ",Neumannia,"Hopkins & Clay, 1952:239",,,,,
Machaerilaemus,Machaerilaemus,,Machaerilaemus cotingae,"Eichler, 1954b:52 ",Niethammerella,"Ledger, 1980:46",,,,,
Dennyus,Dennyus,,Nitzschia burmeisteri,"Denny, 1842:230 ",Nitzschia,"Hopkins & Clay, 1952:249",,,,,
Kurodaia,Kurodaia,,Menopon fulvofasciatum,"Eichler, 1940c:363 ",Nosopoios,"Hopkins & Clay, 1952:249",,,,,
Nosopon,Nosopon,"Hopkins, 1950:239",Menopon fulvofasciatum,Piaget,,,,,,,
Numidicola,Numidicola,"Ewing, 1927:90",Numidicola longicornis,Ewing,,,,,,,
Numidimenopon,Amyrsidea,"Scharf & Price, 1977:819",,,,,,Numidimenopon,"Scharf {& Price}, 1977:819 ",Menacanthus desousai,Kéler
Odoriphila,Odoriphila,"Clay & Meinertzhagen, 1941:336",Odoriphila phoeniculi,Clay & Meinertzhagen,,,,,,,
Osborniella,Osborniella,"Thompson, 1948c:53",Colpocephalum crotophagae,Stafford,,,,,,,
Pacifimenopon,Pacifimenopon,"Price, 1966c:827",Pacifimenopon nelsoni,Price,,,,,,,
Machaerilaemus,Machaerilaemus,,Machaerilaemus raggianae,"Eichler, 1982:84 ",Paradisilaemus,,New Syn,,,,
Holomenopon,Holomenopon,,Holomenopon clypeilargum,"Eichler, 1982:84 ",Paramenopon,,New Syn,,,,
Carrikeria,Carrikeria,,Menacanthus megaspinus,"Eichler, 1953f:167 ",Pectinacanthus,"Hopkins & Clay, 1955:184",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum eucarenum,"Eichler, 1949b:12 ",Pelecanigogus,"Hopkins & Clay, 1952:273",,,,,
Piagetiella,Piagetiella,,Menopon ragazzii,"Picaglia, 1884:104 ",Piagetia,"Hopkins & Clay, 1952:291",,,,,
Piagetiella,Piagetiella,"Neumann, 1906:60",Menopon ragazzii,Picaglia,,,,,,,
Menacanthus,Menacanthus,,Picacanthus dryobates,"Eichler, 1953f:180 ",Picacanthus,"Hopkins & Clay, 1955:185",,,,,
Colpocephalum,Colpocephalum,,Cuculiphilus tirkhan,"Ansari, 1951:163 ",Picusphilus,"Hopkins & Clay, 1953:442",,,,,
Plegadiphilus,Plegadiphilus,"Bedford, 1939b:138",Plegadiphilus threskiornis,Bedford,,,,,,,
Podargiphilus,Podargiphilus,"Mey, 1991a:219",Podargiphilus burmensis,Mey,,,,,,,
Colpocephalum,Colpocephalum,,Vulturigogus eugenii,"Eichler & Z{l-}otorzycka, 1971:20 ",Pricebeeria,,New Syn,,,,
Austromenopon,Austromenopon,,Procellariphaga ossifragae,"Eichler, 1949b:12 ",Procellariphaga,"Price & Clay, 1972:487",,,,,
Colpocephalum,Colpocephalum,,Pseudocolpocephalum uchidi,"Qadri, 1936:640 ",Pseudocolpocephalum,"Hopkins & Clay, 1952:299",,,,,
Pseudomenopon,Pseudomenopon,"Mjöberg, 1910b:50",Menopon tridens,Burm.,,,,,,,
Psittacobrosus,Psittacobrosus,"Carriker, 1954b:150",Psittacobrosus burmeisteri,Carriker,,,,,,,
Psittacomenopon,Psittacomenopon,"Bedford, 1930:154",Menopon poicephalum,Bedford,,,,,,,
